DateTime,Offer,Mid,Bid
06/02/2026 00:59:59,6289.71256,6262.17125,6234.62994
06/02/2026 01:59:59,6282.88944,6255.32142,6227.7534
06/02/2026 02:59:59,6294.8299,6267.22142,6239.61294
06/02/2026 03:59:59,6310.78396,6283.17125,6255.55854
06/02/2026 04:59:59,6333.56114,6305.82142,6278.0817
06/02/2026 05:59:59,6335.56794,6307.82142,6280.0749
06/02/2026 06:59:59,6346.70568,6318.92142,6291.13716
06/02/2026 07:59:59,6341.08664,6313.27159,6285.45654
06/02/2026 08:59:59,6333.15978,6305.42142,6277.68306
06/02/2026 09:59:59,6333.4608,6305.67159,6277.88238
06/02/2026 10:59:59,6338.77882,6311.02142,6283.26402
06/02/2026 11:59:59,6331.25332,6303.52142,6275.78952
06/02/2026 12:59:59,6317.80776,6290.12142,6262.43508
06/02/2026 13:59:59,6305.06458,6277.42142,6249.77826
06/02/2026 14:59:59,6293.92684,6266.32142,6238.716
06/02/2026 15:59:59,6293.92684,6266.32142,6238.716
06/02/2026 16:59:59,6282.68876,6255.17125,6227.65374
06/02/2026 17:59:59,6279.47788,6251.97125,6224.46462
06/02/2026 18:59:59,6278.7755,6251.27125,6223.767
06/02/2026 19:59:59,6276.56802,6249.07125,6221.57448
06/02/2026 20:59:59,6278.57482,6251.07125,6223.56768
06/02/2026 21:59:59,6278.32397,6251.31955,6224.31513
06/02/2026 22:59:59,6276.46768,6248.97125,6221.47482
06/02/2026 23:59:59,6264.82824,6237.42108,6210.01392
06/03/2026 00:59:59,6275.46428,6247.97125,6220.47822
06/03/2026 01:59:59,6262.62076,6235.17125,6207.72174
06/03/2026 02:59:59,6274.46088,6246.97125,6219.48162
06/03/2026 03:59:59,6280.38094,6252.87125,6225.36156
06/03/2026 04:59:59,6262.11906,6234.67125,6207.22344
06/03/2026 05:59:59,6252.48642,6225.12108,6197.75574
06/03/2026 06:59:59,6260.81464,6233.37125,6205.92786
06/03/2026 07:59:59,6243.25514,6215.92108,6188.58702
06/03/2026 08:59:59,6231.41502,6204.12108,6176.82714
06/03/2026 09:59:59,6228.30448,6201.02108,6173.73768
06/03/2026 10:59:59,6248.97452,6221.62108,6194.26764
06/03/2026 11:59:59,6254.79424,6227.37125,6199.94826
06/03/2026 12:59:59,6264.62756,6237.22108,6209.8146
06/03/2026 13:59:59,6253.38948,6226.02108,6198.65268
06/03/2026 14:59:59,6263.32314,6235.87125,6208.41936
06/03/2026 15:59:59,6249.87758,6222.47125,6195.06492
06/03/2026 16:59:59,6254.1922,6226.82108,6199.44996
06/03/2026 17:59:59,6250.6803,6223.32108,6195.96186
06/03/2026 18:59:59,6256.90138,6229.47125,6202.04112
06/03/2026 19:59:59,6259.51022,6232.07125,6204.63228
06/03/2026 20:59:59,6248.6735,6221.32108,6193.96866
06/03/2026 21:59:59,6247.33898,6220.21034,6193.08169
06/03/2026 22:59:59,6259.91158,6232.47125,6205.03092
06/03/2026 23:59:59,6276.06632,6248.57125,6221.07618
06/04/2026 00:59:59,6265.63096,6238.17125,6210.71154
06/04/2026 01:59:59,6289.51188,6261.97125,6234.43062
06/04/2026 02:59:59,6304.96424,6277.37125,6249.77826
06/04/2026 03:59:59,6290.01358,6262.47125,6234.92892
06/04/2026 04:59:59,6311.68702,6284.02142,6256.35582
06/04/2026 05:59:59,6294.8299,6267.27125,6239.7126
06/04/2026 06:59:59,6289.21086,6261.67125,6234.13164
06/04/2026 07:59:59,6284.99658,6257.47125,6229.94592
06/04/2026 08:59:59,6287.3044,6259.77125,6232.2381
06/04/2026 09:59:59,6293.42514,6265.82142,6238.2177
06/04/2026 10:59:59,6295.03058,6267.47125,6239.91192
06/04/2026 11:59:59,6344.09684,6316.32142,6288.546
06/04/2026 12:59:59,6333.15978,6305.42142,6277.68306
06/04/2026 13:59:59,6327.9421,6300.22142,6272.50074
06/04/2026 14:59:59,6281.98638,6254.47125,6226.95612
06/04/2026 15:59:59,6296.93704,6269.32142,6241.7058
06/04/2026 16:59:59,6306.46934,6278.87125,6251.27316
06/04/2026 17:59:59,6300.44894,6272.87125,6245.29356
06/04/2026 18:59:59,6301.75336,6274.12142,6246.48948
06/04/2026 19:59:59,6308.47614,6280.87125,6253.26636
06/04/2026 20:59:59,6301.95404,6274.37125,6246.78846
06/04/2026 21:59:59,6300.57938,6273.25538,6245.93138
06/04/2026 22:59:59,6292.3214,6264.77125,6237.2211
06/04/2026 23:59:59,6287.50508,6259.97125,6232.43742
06/05/2026 00:59:59,6291.01698,6263.42142,6235.82586
06/05/2026 01:59:59,6271.65136,6244.17125,6216.69114
06/05/2026 02:59:59,6259.91158,6232.52108,6205.13058
06/05/2026 03:59:59,6264.62756,6237.22108,6209.8146
06/05/2026 04:59:59,6263.92518,6236.47125,6209.01732
06/05/2026 05:59:59,6264.92858,6237.47125,6210.01392
06/05/2026 06:59:59,6275.7653,6248.27125,6220.7772
06/05/2026 07:59:59,6283.09012,6255.52142,6227.95272
06/05/2026 08:59:59,6293.21624,6258.17875,6223.14126
06/05/2026 09:59:59,6288.99692,6253.97875,6218.96058
06/05/2026 10:59:59,6289.70014,6254.67875,6219.65736
06/05/2026 11:59:59,6294.22084,6259.17875,6224.13666
06/05/2026 12:59:59,6243.38808,6208.62852,6173.86896
06/05/2026 13:59:59,6215.25928,6180.67829,6146.0973
06/05/2026 14:59:59,6202.80224,6168.22852,6133.6548
06/05/2026 15:59:59,6175.67804,6141.27829,6106.87854
06/05/2026 16:59:59,6186.3268,6151.87829,6117.42978
06/05/2026 17:59:59,6190.44566,6155.97829,6121.51092
06/05/2026 18:59:59,6172.66424,6138.27829,6103.89234
06/05/2026 19:59:59,6162.31686,6128.02806,6093.73926
06/05/2026 20:59:59,6182.20794,6147.77829,6113.34864
06/05/2026 21:59:59,6182.20794,6147.77829,6113.34864
06/05/2026 22:59:59,6182.20794,6147.77829,6113.34864
06/05/2026 23:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 00:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 01:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 02:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 03:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 04:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 05:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 06:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 07:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 08:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 09:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 10:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 11:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 12:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 13:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 14:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 15:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 16:59:59,6182.20794,6147.77829,6113.34864
06/06/2026 17:59:59,6182.20794,6147.77829,6113.34864
